"Hm0","THp","Tm01","Tm02","Tp","U10","wind_dir"
3.1,226.7,6.9,5.8,7.3,14.7,206
3.7,225.4,7.5,6.4,8,16,205.7
4.3,225,8,6.8,8.8,16.5,206.9
4.7,224.8,8.5,7.2,9.4,16.7,209.6
4.8,226.1,8.9,7.5,9.9,15.2,213.2
4.7,227.5,9,7.6,10.2,14.8,224.4
4.4,227.9,8.9,7.5,10.1,13.3,229.2
4,226,8.7,7.3,10,12.5,223.7
3.8,221.4,8.4,7,9.5,13.7,210.1
4.2,211.8,8.2,6.9,9.4,16.8,204.1
4.9,211.8,8.5,7.2,9.5,18.2,201
5.4,213.6,8.9,7.6,10,18.6,199.7
6,211.5,9.4,8,10.3,20,195.4
6.7,210.2,9.8,8.4,10.9,20.6,191.6
7.5,210.6,10.4,8.9,11.4,21,197.8
8.1,216.7,11,9.4,12.3,21.3,209.4
7.9,223.8,11.3,9.5,12.6,17.7,219.2
7,226.8,11.4,9.6,12.7,15.6,233.2
6.1,227.1,11.3,9.5,12.7,12,240.2
5.1,225.4,11.1,9.4,12.5,9.2,238.1
4.4,221.7,10.9,9.2,12.3,8.4,225.1
3.9,216.4,10.4,8.4,11.8,10.3,203.7
3.9,212.3,9.3,7.2,11.5,13.4,196.5
4.3,210,8.7,7,10,14.8,208.5
4.4,210.9,8.8,7.2,9.9,13.9,211.5
4.3,211.9,8.9,7.3,10.1,13.4,210.6
4.3,212.8,9,7.4,10.2,13.6,209.6
4.3,213.4,9,7.3,10.2,13.6,208.7
4.3,213.8,8.9,7.3,10.2,13.8,208.9
4.2,214.1,8.8,7.2,10.1,13.9,211.1
4.2,214.7,8.8,7.2,10.1,13.8,215.5
4.2,215.8,8.8,7.3,10.1,13.6,219.5
4.2,217.3,8.8,7.2,10.1,13.7,223.5
4.1,218.7,8.7,7.2,10.1,13.1,226.4
3.8,219.2,8.7,7.2,10.1,11.6,230.1
3.5,218.6,8.8,7.4,10.1,9.3,230.8
3.3,218.1,9,7.6,10.2,8.1,225
3.2,217.9,9,7.5,10.2,8.9,221.5
3.2,217.7,8.7,7.2,10,9.9,224.9
3.2,218.1,8.5,7,9.6,10.7,226.3
3.3,218.7,8.3,6.8,9.6,12,222.4
3.5,218.7,8.1,6.7,9.3,13,216.8
3.6,218.8,8,6.6,9.1,13.6,214
3.7,219,8,6.6,9,13.6,210.2
3.7,218,8,6.6,9,14.1,204
3.8,216.3,8.1,6.7,9,14.3,198.7
4,214.4,8.2,6.8,9.1,14.9,195.6
