id;U[m/s];SigmaU[m/s];Alpha;Hs[m];Tp[s];Density[kg/m3];Yaw[deg];Ch 8 Electrical power [W] Mean;Ch 17 Tower base moment Mx[kNm] SeqM3;Ch 18 Tower base moment My[kNm] SeqM3;Ch 19 Tower base moment Mz[kNm] SeqM3;Ch 23 Tower top moment Mx[kNm] SeqM3;Ch 24 Tower top moment My[kNm] SeqM3;Ch 25 Tower top moment Mz[kNm] SeqM3;Ch 27 Blade1 root moment Mx[kNm] SeqM10;Ch 28 Blade1 root moment My[kNm] SeqM10;Ch 29 Blade1 root moment Mz[kNm] SeqM10;Ch 30 Blade2 root moment Mx[kNm] SeqM10;Ch 31 Blade2 root moment My[kNm] SeqM10;Ch 32 Blade2 root moment Mz[kNm] SeqM10;Ch 33 Blade3 root moment Mx[kNm] SeqM10;Ch 34 Blade3 root moment My[kNm] SeqM10;Ch 35 Blade3 root moment Mz[kNm] SeqM10
1352;5.05250896857179;1.14928069587126;0.0209711485250282;1.43166082535538;11.1131098675609;1.09081828594208;2.04864692687988;1.61394594508294738e+06;1.20033530816077458e+05;3.52619319852159533e+04;4.00347493038237808e+04;4.40105939662452074e+04;4.13622126336308793e+03;3.93875296785917526e+04;1.45440994442825940e+04;5.35626736305086815e+04;4.67489348599072969e+02;1.44999780884002685e+04;5.37967885042691050e+04;4.66847248037609120e+02;1.49016424410440050e+04;5.36933046478899705e+04;4.66859491440488682e+02
1353;11.0809599047694;1.48954719550264;0.15423990106376;2.36841679236877;5.56209502422625;1.1549357175827;3.81335258483887;1.41570286189293768e+07;1.49162241042284906e+05;7.73416099603696784e+04;7.27597346754110185e+04;8.10395379250246915e+04;1.07724375099774570e+04;7.03866404156051867e+04;3.50387900823821910e+04;5.88597480078367662e+04;1.11055447772844855e+03;3.48193279287234327e+04;5.92433458206600189e+04;1.11796667365060648e+03;3.40852888837707724e+04;5.87646258316661697e+04;1.11200799747800102e+03
1354;8.0673727765019;1.35399743719161;0.215303126758066;2.37778681346736;7.10032776713621;1.17475807666779;5.57805824279785;6.10579107284369133e+06;1.51309612662416155e+05;5.40693564113979519e+04;5.34463371481828508e+04;5.92039751117797423e+04;7.37310153122414522e+03;5.24469948016324197e+04;2.56997201555916436e+04;5.63601168680032133e+04;7.84955755014521401e+02;2.39837371964365266e+04;5.62375776371816901e+04;7.71457684253154071e+02;2.35925961921580456e+04;5.62590099996994395e+04;7.72653221184849372e+02
1355;15.2090488527668;2.29788354691688;0.0557670981048364;3.41065309974108;7.8316198100212;1.1887800693512;7.34276390075684;1.50402983532381263e+07;2.01819652452466864e+05;1.33778505105300777e+05;1.07780746790292862e+05;1.12652606362268241e+05;1.47686397162316116e+04;1.04521493239074029e+05;4.26770097768294072e+04;6.06283015955848314e+04;9.35098256230371248e+02;4.24288719418565670e+04;6.14647683229037284e+04;9.10799533268500568e+02;4.22159875884372232e+04;6.10457178188023681e+04;9.45120597285359850e+02
1356;6.61621307689546;1.09061199250514;-0.0131410167130864;2.94844840991594;9.08022274126823;1.20039629936218;9.10746955871582;3.96939312377462350e+06;1.27321476755118798e+05;4.57056681116446052e+04;4.68287543582880753e+04;4.27935605894154214e+04;5.89391162960020847e+03;4.61837932663877800e+04;1.41741248489930731e+04;5.36090810401137715e+04;5.97420517376368707e+02;1.53945429492028452e+04;5.38407320854411882e+04;5.97644377616806878e+02;1.46671782096976567e+04;5.36724210248754025e+04;6.04914763518337622e+02
1357;12.8769187580801;1.91748332495679;0.131548315614767;4.19999651098103;9.88661124307841;1.21080672740936;10.8721752166748;1.49543554842194747e+07;1.98228887517846335e+05;8.44794545541344414e+04;9.52438505606680410e+04;9.92214091687497421e+04;1.32317959827426166e+04;9.18211217553506431e+04;3.73694689366039238e+04;5.96547136440518952e+04;1.09315300978734012e+03;3.95287943367335683e+04;5.96190149820510414e+04;1.09558797476002292e+03;3.69729338980924076e+04;5.93933723009894675e+04;1.10393668908992208e+03
1358;9.52320544235996;1.81888741132184;0.15728891046035;1.4747507873462;7.13597064096855;1.22063040733337;12.6368808746338;1.06018339741762336e+07;1.48869833596422221e+05;7.77072977614213160e+04;9.00524286786880402e+04;8.54866074351355201e+04;1.16858505463390484e+04;8.60987729983589961e+04;3.24282878821103477e+04;5.89866042315004015e+04;1.08525793563676393e+03;3.55006410037365058e+04;5.92162782787184042e+04;1.07997650901434736e+03;3.41258786832530604e+04;5.91984173090042386e+04;1.08515078150567138e+03
1359;19.3299932657327;2.28058794397496;0.231547785152207;2.88736058325251;7.8255845915593;1.23028671741486;14.4015865325928;1.49906153688955661e+07;1.97237633377851220e+05;1.34808328892001853e+05;1.17319240776914055e+05;1.20437958291972434e+05;1.63123911293747260e+04;1.13355971937771043e+05;5.58096631115341443e+04;6.22883998196703542e+04;8.59650802134184346e+02;5.01197068963067213e+04;6.19810933115868393e+04;8.26348582000168904e+02;5.17691709077693231e+04;6.19501221897859941e+04;8.50528529913337479e+02
1360;4.62035170506247;0.952715507491151;-0.21576770364099;1.76523710101206;9.629993254705;1.24014616012573;-13.7299003601074;1.43347708768919320e+06;1.15686709302596733e+05;3.11330402864525386e+04;3.48995011552108263e+04;4.36951986408559096e+04;3.95013477451743938e+03;3.43876421408009628e+04;1.80958275531369654e+04;5.35563019012588629e+04;4.73225620346913843e+02;1.90353578224678822e+04;5.35470400909828459e+04;4.78216812884725812e+02;1.78993319470433853e+04;5.35178325668499019e+04;4.71654837411058963e+02
1361;10.6758279603908;1.76835630604078;0.0746360026700425;2.68467774648068;10.1203683709077;1.25063920021057;-11.9651947021484;1.38171298349699285e+07;1.90115196279457450e+05;7.93985813227526960e+04;8.84998610232079373e+04;9.64251910573035566e+04;1.20946116762217061e+04;8.57832704137773981e+04;3.85839286215884276e+04;5.79431084497774937e+04;1.20468702995192757e+03;3.76755596585532185e+04;5.82187413977204051e+04;1.19887572224873475e+03;3.83612105764637963e+04;5.84578169960154628e+04;1.19487909306320648e+03
